"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","377","3.482","22.3","25.7","13.0","4.2","1.1",".",".","32.9","0.3",".",".",".","0.5",".",".","."
"","101
002","237","3.433","23.2","25.7","16.5","4.6","1.7","0.4",".","24.1","3.8",".",".",".",".",".",".","."
"","101
003","284","3.325","23.2","19.7","15.8","8.5","3.5",".","0.7","28.5",".",".",".",".",".",".",".","."
"","101
004","230","3.298","20.0","20.4","11.3","7.8","1.3","1.7","0.9","32.2","4.3",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1128","3.395","22.3","23.1","14.1","6.1","1.9","0.4","0.4","29.8","1.8",".",".",".","0.2",".",".","."
"","102
001","199","3.614","41.2","38.7","11.6",".","0.5",".","1.0","6.5",".",".",".",".",".",".","0.5","."
"","102
002","233","3.543","24.0","24.9","13.7","1.7","0.4",".",".","34.8",".",".",".",".","0.4",".",".","."
"","102
003","238","3.382","19.3","17.2","11.3","6.3","2.9",".",".","42.4",".",".",".",".",".",".","0.4","."
"Principles-Macroeconomics","Course Total","670","3.524","27.5","26.3","12.2","2.8","1.3",".","0.3","29.1",".",".",".",".","0.1",".","0.3","."
"Internship Economics","228
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","17","3.500","29.4","5.9","17.6","5.9",".",".",".","41.2",".",".",".",".",".",".",".","."
"","300
002","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","300
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","29","3.526","24.1","24.1","13.8","3.4",".",".",".","34.5",".",".",".",".",".",".",".","."
"","301
001","78","3.637","43.6","25.6","3.8","3.8","1.3","1.3",".","17.9","2.6",".",".",".",".",".",".","."
"","301
002","90","3.544","42.2","20.0","17.8","6.7","1.1",".",".","11.1","1.1",".",".",".",".",".",".","."
"","301
003","125","3.456","25.6","24.0","19.2","0.8","2.4","0.8",".","26.4","0.8",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","293","3.534","35.5","23.2","14.7","3.4","1.7","0.7",".","19.5","1.4",".",".",".",".",".",".","."
"","302
001","192","3.517","25.5","34.9","14.1","3.6","0.5",".",".","21.4",".",".",".",".",".",".",".","."
"","302
002","154","3.246","18.2","29.2","21.4","5.2","3.2","2.6","0.6","16.2","2.6",".",".",".",".",".",".","0.6"
"Intmed Macroeconomic Theory","Course Total","346","3.395","22.3","32.4","17.3","4.3","1.7","1.2","0.3","19.1","1.2",".",".",".",".",".",".","0.3"
"","306
001","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","306
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","137","3.292","26.3","13.1","18.2","5.8","4.4","1.5","0.7","28.5","1.5",".",".",".",".",".",".","."
"","310
002","150","3.409","33.3","16.0","14.7","2.7","4.0","2.0","0.7","22.7","4.0",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","287","3.354","30.0","14.6","16.4","4.2","4.2","1.7","0.7","25.4","2.8",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","23","3.900","73.9","8.7","4.3",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","3","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","96","3.815","63.5","29.2","3.1",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","56","3.587","51.8","19.6","14.3","3.6","1.8","1.8",".","3.6","1.8",".",".",".",".",".",".","1.8"
"Economics Poverty Inequality","370
001","25","3.214","32.0","24.0","8.0","12.0",".","4.0","4.0","8.0","4.0",".",".",".",".",".",".","4.0"
"","390
001","36","3.296","22.2","22.2","16.7","5.6","8.3",".",".","25.0",".",".",".",".",".",".",".","."
"","390
002","21","3.294","28.6","14.3","19.0","14.3","4.8",".",".","14.3",".",".",".",".",".",".",".","4.8"
"","390
003","45","3.486","37.8","17.8","17.8","4.4","4.4",".",".","13.3","4.4",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","102","3.383","30.4","18.6","17.6","6.9","5.9",".",".","17.6","2.0",".",".",".",".",".",".","1.0"
"Intro Applied Econometrics","400
001","89","3.464","29.2","23.6","21.3","1.1","1.1",".","1.1","19.1","3.4",".",".",".",".",".",".","."
