"Section","","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"990","013","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","14","","",".","",".","",".",".","",".","",".","",".","92.9
.",".",".","7.1",".",".",".","."
