"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"171
Intro to Geological Engr","001","","15","3.933","93.3",".","6.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".   
.",".",".",".",".",".",".","."
"330
Soil Mechanics","002","","7","3.250","14.3","28.6","28.6","14.3",".",".",".","14.3
.",".",".",".",".",".",".","."
"350
Intro Geophysics:Dynmic  Earth","001","","12","3.917","91.7",".","8.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"370
Elementary Petrology","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401","001","","17","3.382","23.5","41.2","23.5","11.8",".",".",".",".   
.",".",".",".",".",".",".","."
"401","002","","20","3.700","55.0","30.0","15.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"401","003","","17","3.500","17.6","70.6","5.9","5.9",".",".",".",".   
.",".",".",".",".",".",".","."
"401","005","","10","3.500","50.0","10.0","10.0","20.0",".",".",".","10.0
.",".",".",".",".",".",".","."
"Topics-Geological Engr","Course Total","","64","3.525","35.9","40.6","14.1","7.8",".",".",".","1.6
.",".",".",".",".",".",".","."
"455
Structural Geology","001","","7","3.417","28.6","14.3","42.9",".",".",".",".","14.3
.",".",".",".",".",".",".","."
"474
Rock Mechanics","002","","15","3.367","33.3","20.0","33.3","13.3",".",".",".",".   
.",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","11","3.800","72.7","9.1",".","9.1",".",".",".","9.1
.",".",".",".",".",".",".","."
"612
Ecohydrology","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"629
Contaminant Hydrogeology","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","",""
"730
Engr Properties of Soils","001","","7","3.857","71.4","28.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","072","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","4","***","","","","","","","","","","","","","","",""
"900
Seminar","001","","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"990
Research and Thesis","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999
Independent Work","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
