"ASIAN LANGUAGES AND CULTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","14","3.959","92.9","7.1",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"701
Prosem-Chinese Literature","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"775
Japanese Applied Linguistics","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"799
Reading for Research","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"815
Smr:Interdis Approachs to Asia","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"833
Topics-E Asian Visual Cultures","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","8","4.000","62.5",".",".",".",".",".",".",".   
.",".",".",".","37.5",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","17","",".",".",".",".",".",".",".","88.2
.",".",".","11.8",".",".",".","."
