"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"NEUROL","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","",".",".",".","25.0",".",".","."
"Junior","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Senior","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Undergraduates","","47","3.971","91.5",".","2.1",".",".",".","",".  
.",".",".",".",".","6.4",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
