"Culture in Age of Globalizatn","403
001","20","3.583","50.0","20.0","10.0","5.0","5.0",".","",".","10.0",".",".",".","",".","",".",".",".","."
"Comparative Study of Genocide","439
001","8","3.286","25.0","37.5",".","12.5","12.5",".","",".","12.5",".",".",".","",".","",".",".",".","."
"Politics&Policy in Global Econ","602
001","11","3.600","45.5","18.2","27.3",".",".",".","",".","9.1",".",".",".","",".","",".",".",".","."
"INTL ST
504","Dept. Total","281","3.483","29.5","22.8","11.7","4.3","1.8","0.4","",".","10.7","1.1","17.4","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD","U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.395","12.5","28.1","12.5","6.3",".",".","",".","28.1",".","12.5","",".","",".",".",".",".","."
"Sophomore","","88","3.315","14.8","22.7","18.2","2.3","3.4","1.1","",".","13.6","1.1","22.7","",".","",".",".",".",".","."
"Junior","","83","3.510","28.9","21.7","12.0","6.0",".",".","",".","4.8","2.4","22.9","",".","",".","1.2",".",".","."
"Senior","","73","3.647","52.1","21.9","4.1","4.1","2.7",".","",".","6.8",".","8.2","",".","",".",".",".",".","."
"Undergraduates","","276","3.473","28.6","22.8","12.0","4.3","1.8","0.4","",".","10.9","1.1","17.8","",".","",".","0.4",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","281","3.483","29.5","22.8","11.7","4.3","1.8","0.4","",".","10.7","1.1","17.4","",".","",".","0.4",".",".","."
