"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","13","3.963","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","45","3.991","97.8","2.2",".",".",".",".","",".  
.",".",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Prof Yr 2","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","68","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","53","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","123","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
