"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","2","***","","","","","","","","","","","","","","",""
"170
Product Design Practicum","001","","20","3.842","70.0","20.0","5.0",".",".",".",".",".   
5.0",".",".",".",".",".",".","."
"299","025","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","",""
"308
Career Management-Engineers","001","","84","",".",".",".",".",".",".",".",".   
.","97.6","2.4",".",".",".",".","."
"349
Quant Technqs-Biological Systm","001","","64","3.159","7.8","23.4","20.3","9.4","1.6","1.6",".","26.6
9.4",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","17","3.423","17.6","29.4","29.4",".",".",".",".","23.5
.",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","55","3.260","20.0","25.5","32.7","7.3","5.5",".",".","9.1
.",".",".",".",".",".",".","."
"367","001","","89","3.620","42.7","36.0","12.4","1.1",".","1.1",".","6.7
.",".",".",".",".",".",".","."
"367","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","90","3.625","43.3","35.6","12.2","1.1",".","1.1",".","6.7
.",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","",""
"464
Heat and Mass Transfer","001","","23","2.909","13.0","26.1","17.4","17.4","17.4","4.3",".","4.3
.",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","25","3.318","36.0","16.0","16.0","16.0",".","4.0",".","12.0
.",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","25","3.050","8.0","8.0","52.0","8.0","4.0",".",".","20.0
.",".",".",".",".",".",".","."
"508
Biol Sys Engr Dsgn Practicum I","002","","57","3.700","61.4","26.3","5.3",".","1.8",".","1.8",".   
.",".",".",".","3.5",".",".","."
"517
Biology in Engineering Seminar","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","22","3.294","18.2","22.7","27.3","4.5","4.5",".",".","18.2
.",".",".",".","4.5",".",".","."
"799","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","",""
"901
Graduate Research Seminar","001","","9","3.944","88.9","11.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 3 of 447"
