"ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","",""
"545
Topics in Biotechnology","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"675
Topics in Cancer Research","014","","12","3.708","58.3","25.0","16.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","117","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"715
Ethics in Science","001","","33","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"725
Readings in Cancer Biology","001","","15","3.750","53.3","33.3","6.7",".",".",".",".",".   
6.7",".",".",".",".",".",".","."
"901
Seminar","002","","16","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","",".",".",".",".",".",".","."
