"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"715
Strategic Mgmt of Innovation","001","","37","3.750","56.8","32.4","8.1",".",".",".",".","2.7
.",".",".",".",".",".",".","."
"722","001","","41","3.951","90.2","9.8",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"722","030","","41","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","","82","3.976","95.1","4.9",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"723
Business Strategy","003","","23","3.773","56.5","34.8","4.3",".",".",".",".","4.3
.",".",".",".",".",".",".","."
"728
Barg,Negot,Dispute Settlmnt","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","17","3.971","94.1","5.9",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"738
Weinert Appl Ventr in Entreshp","001","","16","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"741
Technology Entrepreneurship","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"765","003","","12","3.833","66.7","33.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"765","004","","21","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"765","006","","3","***","","","","","","","","",".",".",".",".",".",".","."
"765","008","","11","4.000","90.9",".",".",".",".",".",".",".   
.",".",".",".","9.1",".",".","."
"765","020","","34","3.516","26.5","47.1","17.6","2.9",".",".",".","5.9
.",".",".",".",".",".",".","."
"765","021","","32","3.571","25.0","50.0","12.5",".",".",".",".","12.5
.",".",".",".",".",".",".","."
"765","040","","51","3.957","90.2","7.8",".",".",".",".",".","2.0
.",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","164","3.811","64.0","24.4","6.1","0.6",".",".",".","4.3
.",".",".",".","0.6",".",".","."
"799","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","074","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","4","***","","","","","","","","","","","","","","",""
"977
Emerging Entrepreneurship","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","129","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","133","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","208","","1","***","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","10","",".",".",".",".",".",".",".","90.0
.",".",".","10.0",".",".",".","."
"999
Read&Rsch-Mgmt&H Resrcs PhD","048","","1","***","","","","","","","","",".",".",".",".",".",".","."
