"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"699","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","081","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","083","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","087","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","088","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","59","3.993","94.9",".","1.7",".",".",".",".",".  
.",".",".",".",".",".","3.4","."
"729","002","","14","4.000","35.7",".",".",".",".",".",".","64.3
.",".",".",".",".",".",".","."
"729","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"729","008","","44","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"729","009","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"729","010","","17","3.882","94.1",".",".",".","5.9",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Topics","Course Total","","89","3.976","88.8",".",".",".","1.1",".",".","10.1
.",".",".",".",".",".",".","."
"801
Biochem Appl-Nuc Mag Resonc","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","8","4.000","12.5",".",".",".",".",".",".","87.5
.",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"917
Reg Gene Expression Adv Sem","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","15","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"945
Seminar-Chemical Biology (Adv)","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","041","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","074","","5","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 14 of 447"
