"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","",""
"790","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"890","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","005","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","009","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","016","","4","***","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","020","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","021","","7","",".",".",".",".",".",".",".","14.3
.",".",".","85.7",".",".",".","."
"890","030","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","033","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"890","034","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","037","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","040","","3","***","","","","","","","","",".",".",".",".",".",".","."
"890","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","64","",".",".",".",".",".",".",".","85.9
.",".",".","14.1",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 118 of 447",""
