"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","",".",".",".",".",".","",".","",".",".",".","100.0","",".",".",".",".",".","."
"Sophomore","","21","3.500",".","4.8",".",".",".","",".","",".","9.5",".","85.7","",".",".",".",".",".","."
"Junior","","39","3.518","30.8","23.1","15.4",".",".","",".","",".","17.9",".","12.8","",".",".",".",".",".","."
"Senior","","247","3.524","61.1","12.1","13.4","2.0","3.6","",".","",".","5.7","1.2","0.4","",".",".","0.4",".",".","."
"Undergraduates","","314","3.523","51.9","12.7","12.4","1.6","2.9","",".","",".","7.3","1.0","9.9","",".",".","0.3",".",".","."
"Special","","9","3.528","33.3","33.3","22.2",".",".","",".","",".","11.1",".",".","",".",".",".",".",".","."
"Graduate","","93","3.688","21.5","3.2","2.2","1.1",".","",".","",".","65.6","3.2",".","",".","2.2",".",".","1.1","."
"","Dept. Total","416","3.536","44.7","11.1","10.3","1.4","2.2","",".","",".","20.4","1.4","7.5","",".","0.5","0.2",".","0.2","."
