"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Thry&Pract-Argument&Debate","262","001","155","3.703","51.6","31.0","7.1","1.9",".","0.6",".","6.5","1.3",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","141","3.532","37.6","21.3","9.9","3.5","2.8","1.4",".","20.6","2.8",".",".",".",".",".",".","."
"Film Comedy","300","001","98","3.413","27.6","29.6","25.5","2.0","1.0","2.0",".","12.2",".",".",".",".",".",".",".","."
"Rhetoric and Health","317","001","77","3.733","63.6","22.1","6.5",".","1.3",".","1.3","1.3","2.6",".",".",".","1.3",".",".","."
"Media & Human Behavior","325","001","75","2.969","12.0","12.0","22.7","5.3","6.7","5.3",".","32.0",".",".",".",".","4.0",".",".","."
"Online Comm & Personal Rltnshp","345","001","49","3.280","16.3","30.6","26.5","8.2",".","2.0",".","16.3",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","96","3.244","9.4","45.8","15.6","7.3","3.1","1.0","1.0","13.5","2.1",".",".",".","1.0",".",".","."
"Introduction to Film","350","001","134","3.315","14.9","41.8","15.7","3.0","3.0","0.7","1.5","19.4",".",".",".",".",".",".",".","."
"Television Industries","351","001","83","3.130","8.4","19.3","25.3","3.6","1.2",".","2.4","37.3","1.2",".",".",".","1.2",".",".","."
"Intro to Media Production","355","001","129","3.478","24.8","41.1","17.1","3.9",".","0.8",".","9.3","1.6",".",".",".","1.6",".",".","."
"History of Animated Film","357","001","57","3.125","17.5","8.8","29.8","5.3","7.0","1.8",".","22.8","3.5",".",".",".","3.5",".",".","."
"Rhetoric, Politics, Culture","360","001","79","3.822","74.7","16.5","3.8",".",".",".","1.3","2.5","1.3",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","97","3.463","45.4","14.4","13.4","6.2","2.1","1.0","2.1","15.5",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","105","3.774","61.9","20.0","6.7",".","1.9",".",".","9.5",".",".",".",".",".",".",".","."
"","371","003","20","3.842","70.0","20.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","371","004","20","3.842","80.0","10.0",".",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","","Course Total","40","3.842","75.0","15.0","2.5",".","2.5",".",".","2.5",".",".",".",".","2.5",".",".","."
"","377","002","135","3.302","14.8","34.8","15.6","5.9","0.7","3.0",".","22.2","3.0",".",".",".",".",".",".","."
"","377","003","18","3.583","61.1","27.8",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Topics in Digital Studies","","Course Total","153","3.345","20.3","34.0","13.7","5.2","1.3","3.3",".","19.6","2.6",".",".",".",".",".",".","."
"Sound Cultures/Podcasting","449","001","38","3.371","2.6","65.8","21.1","2.6",".",".",".","7.9",".",".",".",".",".",".",".","."
"Television Criticism","451","001","62","3.375","16.1","41.9","19.4","4.8",".","1.6",".","9.7","4.8",".",".",".","1.6",".",".","."
"Italian Film","460","001","64","3.984","92.2","3.1",".",".",".",".",".","3.1",".",".",".",".","1.6",".",".","."
"Avant-Garde Film","463","001","14","3.769","50.0","42.9",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","465","001","16","3.607","18.8","68.8",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","465","002","16","3.700","37.5","56.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","32","3.655","28.1","62.5",".",".",".",".",".",".",".",".",".",".","9.4",".",".","."
"Writing for TV & Film","466","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","45","3.688","55.6","17.8","11.1","2.2","2.2",".",".","8.9",".",".",".",".","2.2",".",".","."
"Topic-Com Arts:Study Abroad","513","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","131","",".",".",".",".",".",".",".",".",".","99.2",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","608","001","19","3.944","84.2","10.5",".",".",".",".",".",".","5.3",".",".",".",".",".",".","."
"","609","001","19","3.824","57.9","31.6",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","609","002","14","3.808","57.1","35.7",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","33","3.817","57.6","33.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","612","001","11","3.375","9.1","36.4","27.3",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Special Topics in Film","613","001","24","3.441","16.7","33.3","16.7","4.2",".",".",".","29.2",".",".",".",".",".",".",".","."
