"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"G L E","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","13","3.813","84.6","7.7","7.7",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","11","3.711","54.5","36.4","9.1",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","117","3.596","46.2","28.2","15.4","6.8","",".","",".","",".","3.4",".",".","",".","",".","",".",".",".","."
"Undergraduates","","144","3.627","51.4","26.4","13.9","5.6","",".","",".","",".","2.8",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","37","3.457","27.0","16.2","18.9","2.7","",".","",".","",".","35.1",".",".","",".","",".","",".",".",".","."
"","Dept. Total","183","3.606","46.4","24.6","14.8","4.9","",".","",".","",".","9.3",".",".","",".","",".","",".",".",".","."
