"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","20","3.526","20.0","60.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","275
002","18","3.441","5.6","72.2","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","275
003","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","75","3.685","45.3","42.7","9.3",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","26","3.579","15.4","53.8","3.8",".",".",".",".","26.9",".",".",".",".",".",".",".","."
"","397
002","23","3.579","34.8","30.4","13.0","4.3",".",".",".","17.4",".",".",".",".",".",".",".","."
"","397
003","23","3.625","26.1","56.5","4.3",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","397
004","23","3.639","30.4","39.1","8.7",".",".",".",".","17.4","4.3",".",".",".",".",".",".","."
"","397
005","26","3.477","26.9","26.9","30.8",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","397
006","24","3.525","20.8","45.8","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","397
007","24","3.500","12.5","33.3","12.5",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"","397
008","22","3.500","18.2","31.8","18.2",".",".",".",".","27.3",".",".",".",".","4.5",".",".","."
"","397
009","25","3.542","8.0","36.0","4.0",".",".",".",".","48.0","4.0",".",".",".",".",".",".","."
"","397
010","24","3.674","41.7","45.8","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","397
011","26","3.441","11.5","34.6","19.2",".",".",".",".","34.6",".",".",".",".",".",".",".","."
"","397
012","25","3.725","52.0","16.0","8.0","4.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","291","3.573","24.7","37.5","12.4","0.7",".",".",".","23.7","0.7",".",".",".","0.3",".",".","."
"Tech Communications Intrshp","398
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","499
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","36","3.861","75.0","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","604
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Mktg for Tech Professionals","614
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Technical Info","617
001","28","3.589","42.9","32.1","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","36","3.875","83.3","13.9",".",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Engine Performance&Combustion","624
001","25","3.229","24.0","28.0","32.0","8.0",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
016","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
017","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","690
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","49","3.771","81.6","6.1","8.2",".","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Independent Study","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial and Business Acumen","781
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 134 of 447",""
