"Section","","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"990","081","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","74","","",".","",".","",".",".","",".","",".","",".","58.1
1.4",".",".","39.2",".",".","1.4","."
