"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"100
Biochemistry Freshman Seminar","001","","30","3.926","80.0","6.7","3.3",".",".",".",".",".   
10.0",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","046","","28","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","078","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","080","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","085","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"301
Survey of Biochemistry","001","","33","3.224","33.3","6.1","27.3","9.1","12.1",".",".","12.1
.",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"501","001","","227","3.400","38.8","13.2","16.7","5.3","5.3","1.8","0.4","18.1
0.4",".",".",".",".",".",".","."
"501","002","","269","3.466","40.9","16.4","13.8","4.5","4.8","1.9",".","17.5
0.4",".",".",".",".",".",".","."
"Introduction-Biochemistry","Course Total","","496","3.436","39.9","14.9","15.1","4.8","5.0","1.8","0.2","17.7
0.4",".",".",".",".",".",".","."
"508
General Biochemistry II","001","","158","3.447","31.6","24.1","20.3","3.2","2.5","1.3",".","15.8
0.6",".",".",".",".",".","0.6","."
"510
Nutr Biochm & Mtblsm","001","","54","3.765","70.4","5.6","13.0",".",".","1.9",".","7.4
1.9",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","50","3.511","34.0","36.0","18.0","4.0","2.0",".",".","6.0
.",".",".",".",".",".",".","."
"551
Biochemical Methods","001","","100","3.760","68.0","19.0","5.0","6.0",".",".",".","2.0
.",".",".",".",".",".",".","."
"570
Comp Modeling of Bio Systems","001","","27","3.850","51.9","22.2",".",".",".",".",".","7.4
14.8",".",".",".",".",".","3.7","."
"575
Biology of Viruses","001","","43","3.217","18.6","9.3","16.3",".","7.0","2.3",".","34.9
7.0",".",".",".",".",".","2.3","2.3"
"609
Math Mthds for Systems Biology","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","40","3.279","22.5","20.0","32.5","7.5",".","2.5",".","10.0
5.0",".",".",".",".",".",".","."
"625
Mechanisms-Vitamins & Minerals","001","","24","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","039","","2","***","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","",""
"699","039","","7","3.917","85.7",".","14.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","041","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","053","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","054","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","",".",".",".",".",".",".","."
