"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Philos, Poli, & Econ Seminar","461
001","","19","3.656","52.6","10.5","15.8","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"Honors Race and Pol in the US","481
001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","21","3.775","57.1","33.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","601
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","","12","3.900","66.7","16.7",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","43","3.863","69.8","20.9","2.3",".",".",".",".","4.7",".",".",".",".","2.3",".",".","."
"Senior Honors Thesis Smr","684
001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690
00A","","7","3.737","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","698
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","811
001","","19","",".",".",".",".",".",".",".",".",".","89.5",".",".",".",".",".","."
"Stat Inference Pol Research","813
001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Identities: Def&Measure","814
001","","14","3.850","50.0","21.4",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Mass Political Behavior","821
001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Political Communication","829
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Politics","904
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Time Series Analysis","917
001","","8","3.900","50.0","12.5",".",".",".",".",".","25.0",".",".",".",".","12.5",".",".","."
"","919
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","931
001","","8","3.700","25.0","37.5",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"","931
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Political Theory","Course Total","","11","3.786","36.4","27.3",".",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"Smr:Topics in Comp Politics","948
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","960
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","960
002","","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Smr-International Relations","Course Total","","14","3.958","78.6","7.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Political Theory Workshop","986
001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Comparative Politic Colloquium","987
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"International Relations Wkshop","988
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"American Politics Workshop","989
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
