"","990
078","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
081","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
083","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","33","",".",".",".",".","",".","",".","",".","81.8",".",".","",".","18.2","",".",".",".","."
"PATH-BIO
703","Dept. Total","670","3.772","60.4","15.5","7.0","0.4","",".","",".","",".","15.7",".",".","",".","0.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","3.667","33.3","66.7",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","","13","3.700","53.8","15.4","15.4",".","",".","",".","",".","15.4",".",".","",".",".","",".",".",".","."
"Senior","","23","3.795","78.3","8.7","8.7","4.3","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","48","3.739","60.4","25.0","8.3","2.1","",".","",".","",".","4.2",".",".","",".",".","",".",".",".","."
"Graduate","","50","3.857","18.0","4.0","2.0",".","",".","",".","",".","68.0",".",".","",".","8.0","",".",".",".","."
"Prof Yr 1","","100","3.705","61.0","12.0","22.0",".","",".","",".","",".","5.0",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","289","3.767","69.6","20.4","5.5","0.7","",".","",".","",".","3.5",".",".","",".","0.3","",".",".",".","."
"Prof Yr 3","","100","3.864","76.0","19.0","4.0",".","",".","",".","",".","1.0",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","83","4.000","34.9",".",".",".","",".","",".","",".","63.9",".",".","",".","1.2","",".",".",".","."
"Professionals","","572","3.775","64.2","15.7","7.3","0.3","",".","",".","",".","12.1",".",".","",".","0.3","",".",".",".","."
"","Dept. Total","670","3.772","60.4","15.5","7.0","0.4","",".","",".","",".","15.7",".",".","",".","0.9","",".",".",".","."
