"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Sound Dsgn-Perf/Visual Arts","","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Watercolor II","342","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Fabr & Weldng in Sculptr","343","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346","001","","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346","002","","14","3.667","50.0","14.3","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","346","003","","9","3.750","66.7",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Basic Graphic Design","","Course Total","","36","3.667","55.6","11.1","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","376","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","003","","8","3.929","75.0","12.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".","."
"Photography","","Course Total","","21","3.875","81.0","9.5",".","4.8",".",".",".",".","4.8",".",".",".",".",".",".","."
"Internships in Art","393","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Digital Fabrication Studio","409","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","428","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design History","438","001","","22","2.969","22.7",".","27.3","4.5","13.6","4.5",".","27.3",".",".",".",".",".",".",".","."
"Artists' Books","446","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","010","","29","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","46","3.883","87.0","6.5",".",".",".","2.2",".","4.3",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","","10","3.813","50.0","30.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Branding Design","458","001","","12","3.227","16.7","25.0","41.7",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467","001","","12","3.450","16.7","41.7","25.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","470","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","11","3.750","45.5","45.5",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Making Comics 2","507","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508","001","","95","3.891","67.4","1.1","3.2",".",".",".","1.1","27.4",".",".",".",".",".",".",".","."
"","508","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","","Course Total","","97","3.894","68.0","1.0","3.1",".",".",".","1.0","26.8",".",".",".",".",".",".",".","."
"Art Performance","511","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
