"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","212","3.885","78.8","14.6","2.8",".","0.5",".",".","3.3",".",".",".",".",".",".",".","."
"","306
002","32","3.887","78.1","15.6","3.1",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","244","3.886","78.7","14.8","2.9",".","0.4",".",".","3.3",".",".",".",".",".",".",".","."
"","312
001","37","3.630","37.8","21.6","8.1","5.4",".",".",".","27.0",".",".",".",".",".",".",".","."
"","312
002","31","3.733","74.2","12.9","6.5",".",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","68","3.684","54.4","17.6","7.4","2.9",".",".","1.5","16.2",".",".",".",".",".",".",".","."
"","365
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","365
005","56","3.583","33.9","35.7","12.5","3.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"","365
006","51","3.589","35.3","33.3","19.6",".",".",".",".","9.8","2.0",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","116","3.639","37.1","33.6","14.7","1.7",".",".",".","12.1","0.9",".",".",".",".",".",".","."
"","410
001","27","3.429","29.6","18.5","22.2","3.7","3.7",".",".","22.2",".",".",".",".",".",".",".","."
"","410
002","27","3.667","37.0","14.8","14.8",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","54","3.538","33.3","16.7","18.5","1.9","1.9",".",".","27.8",".",".",".",".",".",".",".","."
"","415
001","45","3.592","33.3","35.6","13.3","2.2",".",".",".","15.6",".",".",".",".",".",".",".","."
"","415
002","42","3.609","35.7","21.4","19.0",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","87","3.600","34.5","28.7","16.1","1.1",".",".",".","19.5",".",".",".",".",".",".",".","."
"","420
001","45","3.526","31.1","37.8","11.1","2.2",".","2.2",".","15.6",".",".",".",".",".",".",".","."
"","420
002","29","3.759","55.2","31.0","6.9",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"","420
003","18","3.625","27.8","27.8","11.1",".",".",".",".","22.2","11.1",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","92","3.623","38.0","33.7","9.8","1.1",".","1.1",".","14.1","2.2",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","611
001","67","3.969","91.0","3.0","1.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","611
003","29","3.732","62.1","24.1","3.4","6.9",".",".",".","3.4",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","Course Total","96","3.897","82.3","9.4","2.1","2.1",".",".",".","4.2",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","34","3.919","76.5","14.7",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","40","3.735","45.0","35.0","5.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","6","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","31","3.900","77.4","19.4",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","765
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","20","3.969","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
