"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","145
001","265","3.977","95.5","1.9","0.8","0.4",".",".",".","0.8","0.8",".",".",".",".",".",".","."
"","145
002","264","3.909","84.5","3.8","1.5",".","1.1","0.4","0.4","6.8","1.5",".",".",".",".",".",".","."
"How to Succeed in College","Course Total","529","3.944","90.0","2.8","1.1","0.2","0.6","0.2","0.2","3.8","1.1",".",".",".",".",".",".","."
"","210
001","20","3.667","75.0",".","5.0",".","5.0","5.0",".","10.0",".",".",".",".",".",".",".","."
"","210
002","18","3.867","77.8",".",".",".","5.6",".",".","11.1","5.6",".",".",".",".",".",".","."
"","210
004","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","18","3.500","55.6","5.6","5.6","5.6",".",".","5.6",".","22.2",".",".",".",".",".",".","."
"","210
006","17","3.933","82.4",".","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","210
007","18","3.583","83.3","5.6",".",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","210
009","19","3.906","73.7","5.3","5.3",".",".",".",".","10.5",".",".",".",".","5.3",".",".","."
"L&S Career Development","Course Total","129","3.770","76.0","4.7","3.1","0.8","1.6","1.6","1.6","6.2","3.9",".",".",".","0.8",".",".","."
"Communicating About Careers","215
001","141","3.913","83.0","6.4","2.8","1.4",".",".",".","5.7",".",".",".",".","0.7",".",".","."
"","250
001","17","3.924","76.5","17.6",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","250
002","15","3.900","66.7","20.0",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"","250
003","14","3.931","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
006","16","3.838","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","12","3.962","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","250
008","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.905","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","12","3.889","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","144","3.929","83.3","12.5","0.7",".",".",".",".","1.4",".",".",".",".","1.4","0.7",".","."
"Intrnshp in Liberal Arts & Sci","260
001","20","3.921","80.0","15.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".","."
"Public Humanities","700
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
