"","990
064","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
066","5","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
068","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","46","",".",".",".",".",".",".",".","76.1",".",".","",".","23.9",".",".",".","."
"ZOOLOGY
970","Dept. Total","1681","3.493","47.4","11.7","16.1","2.6","2.9","1.7","0.2","13.5","2.3","0.2","",".","0.8","0.2",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","79","3.006","15.2","13.9","21.5","7.6","5.1","5.1",".","26.6","5.1",".","",".",".",".",".",".","."
"Sophomore","","301","3.319","31.6","12.3","23.3","4.0","4.0","2.7",".","18.6","3.7",".","",".",".",".",".",".","."
"Junior","","493","3.526","44.8","13.0","18.1","2.6","3.0","1.6","0.4","13.8","1.6",".","",".",".","0.8",".","0.2","."
"Senior","","682","3.565","59.8","12.2","13.2","1.8","2.6","1.3","0.1","5.7","2.3","0.4","",".","0.4",".",".",".","."
"Undergraduates","","1555","3.481","47.3","12.5","17.1","2.8","3.2","1.9","0.2","11.8","2.5","0.2","",".","0.2","0.3",".","0.1","."
"Special","","21","3.485","23.8",".","23.8",".",".",".",".","33.3",".",".","",".",".",".",".","19.0","."
"Graduate","","105","3.972","53.3","1.9",".",".",".",".",".","34.3",".",".","",".","10.5",".",".",".","."
"","Dept. Total","1681","3.493","47.4","11.7","16.1","2.6","2.9","1.7","0.2","13.5","2.3","0.2","",".","0.8","0.2",".","0.3","."
