"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","30","3.464","26.7","50.0","10.0","3.3",".","3.3",".","6.7",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","29","3.481","62.1","10.3","3.4","6.9",".",".","6.9","10.3",".",".",".",".",".",".",".","."
"Gogol in Translation","221","001","14","3.625","35.7","35.7","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","23","3.833","69.6","13.0","8.7",".",".",".",".","4.3","4.3",".",".",".",".",".",".","."
"","234","001","12","3.350","33.3","41.7",".",".",".",".","8.3","8.3",".",".",".",".","8.3",".",".","."
"","234","002","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","","Course Total","26","3.591","50.0","38.5",".",".",".",".","3.8","3.8",".",".",".",".","3.8",".",".","."
"Spanish American Literature","245","001","21","3.313","33.3","14.3","19.0","4.8",".",".","4.8","19.0",".",".",".",".","4.8",".",".","."
"","247","001","11","3.900","72.7","18.2",".",".",".",".",".",".","9.1",".",".",".",".",".",".","."
"","247","002","29","3.750","41.4","20.7","6.9",".",".",".",".","24.1","6.9",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","","Course Total","40","3.800","50.0","20.0","5.0",".",".",".",".","17.5","7.5",".",".",".",".",".",".","."
"Dante's Divine Comedy","253","001","46","3.472","39.1","13.0","13.0","8.7","4.3",".",".","21.7",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","15","3.714","60.0","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Scand Lit in Tran-20th C","274","001","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","58","3.673","55.2","24.1","5.2","3.4",".",".","1.7","6.9",".",".",".",".","1.7",".","1.7","."
"","275","002","63","3.871","74.6","22.2","1.6",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","275","003","72","3.765","54.2","36.1","4.2",".",".",".",".","2.8",".",".",".",".",".",".","2.8","."
"In Transl:Hans C. Andersen","","Course Total","193","3.785","61.1","28.0","3.6","1.0",".",".","0.5","3.6",".",".",".",".","0.5",".","1.6","."
"Spec Tops in Ger & World Lit/s","276","001","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","50","3.902","80.0","16.0","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","329","001","195","3.773","62.6","18.5","4.6",".","2.1",".","0.5","11.3","0.5",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","88","3.722","61.4","15.9","11.4","1.1","2.3",".",".","6.8","1.1",".",".",".",".",".",".","."
