"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","112","3.733","53.6","31.3","8.0","0.9",".",".","",".","3.6
1.8",".",".","",".","",".","","0.9",".","."
"SoHE Career & Leadership Dev","202
001","192","3.494","45.3","15.1","13.5","3.6","4.2","2.6","",".","13.5
2.1",".",".","",".","",".","",".",".","."
"Research Methods","793
001","9","3.889","77.8","22.2",".",".",".",".","",".",".   
.",".",".","",".","",".","",".",".","."
"","815
001","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","815
002","10","4.000","100.0",".",".",".",".",".","",".",".   
.",".",".","",".","",".","",".",".","."
"","815
003","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Prof Skills for Comm Leaders","Course Total","19","3.947","94.7",".","5.3",".",".",".","",".",".  
.",".","",".","",".","",".",".",".","."
"Capstone Seminar","980
001","9","",".",".",".",".",".",".","",".","100.0
.",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","341","3.675","50.4","19.4","10.6","2.3","2.3","1.5","",".","11.4
1.8",".","",".","",".","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.778","60.0","20.0","10.0",".",".",".","",".","10.0
.",".","",".","",".","",".",".",".","."
"Sophomore","","108","3.714","50.0","31.5","9.3","0.9",".","0.9","",".","4.6
2.8",".","",".","",".","",".",".",".","."
"Junior","","94","3.583","51.1","14.9","12.8","4.3","2.1","2.1","",".","12.8
.",".","",".","",".","",".",".",".","."
"Senior","","90","3.453","43.3","14.4","13.3","3.3","6.7","2.2","",".","13.3
3.3",".","",".","",".","",".",".",".","."
"Undergraduates","","302","3.653","48.7","20.9","11.6","2.6","2.6","1.7","",".","9.9
2.0",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","",".","",".","",".","",".","50.0",".","."
"Graduate","","34","3.902","64.7","5.9","2.9",".",".",".","",".","26.5
.",".","",".","",".","",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","341","3.675","50.4","19.4","10.6","2.3","2.3","1.5","",".","11.4
1.8",".","",".","",".","",".","0.3",".","."
