"Section","","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"990","067","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","156","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","157","","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","159","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","169","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","178","","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","179","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","181","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","38","","",".","",".","",".",".","",".","",".","",".","81.6
.",".",".","18.4",".",".",".","."
