"L&S","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","5086","3.533","36.7","23.0","13.6","3.6","1.4","0.5","0.3","19.5
1.1","0.1","",".","",".","0.1",".","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","378","3.318","19.6","19.3","16.9","6.1","1.1","1.1","0.8","32.5
2.6",".","",".","",".",".",".",".","."
"Sophomore","","1244","3.497","28.3","25.0","12.3","4.3","1.8","0.2","0.2","27.2
0.6",".","",".","",".","0.2",".",".","."
"Junior","","1086","3.488","30.8","23.4","14.5","4.1","1.7","0.6","0.3","23.0
1.6",".","",".","",".","0.1",".",".","0.1"
"Senior","","1402","3.517","38.2","21.9","16.1","3.9","1.8","0.7","0.2","14.8
1.4","0.5","",".","",".","0.3",".",".","0.2"
"Undergraduates","","4110","3.487","31.6","23.0","14.6","4.2","1.7","0.6","0.3","22.4
1.3","0.2","",".","",".","0.2",".",".","0.1"
"Special","","91","3.717","60.4","18.7","5.5","1.1","1.1",".","1.1","11.0
.",".","",".","",".",".",".","1.1","."
"Graduate","","885","3.742","58.1","23.3","9.7","0.9","0.1",".","0.1","7.3
0.3",".","",".","",".",".",".","0.1","."
"","Dept. Total","5086","3.533","36.7","23.0","13.6","3.6","1.4","0.5","0.3","19.5
1.1","0.1","",".","",".","0.1",".","0.0","0.1"
