"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","",""
"790","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","032","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","82.1
.",".",".","17.9",".",".",".","."
"803","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"803","002","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"803","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"803","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"803","008","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"803","011","","5","***","","","","","","","","",".",".",".",".",".",".","."
"803","027","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","41","4.000","87.8",".",".",".",".",".",".","12.2
.",".",".",".",".",".",".","."
"890","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","024","","2","***","","","","","","","","",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","16","",".",".",".",".",".",".",".","68.8
6.3",".",".","25.0",".",".",".","."
"900
Materials Research Seminar","001","","17","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 149 of 447",""
