"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"410
Radiobiology","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","15","3.400","20.0","40.0","40.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","18","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"671","019","","3","***","","","","","","","","",".",".",".",".",".",".","."
"671","035","","10","3.700","40.0","60.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"671","036","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"671","039","","10","3.700","40.0","60.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"671","040","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","34","3.833","64.7","35.3",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"699","018","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","074","","12","4.000","91.7",".",".",".",".",".",".",".   
.",".",".",".","8.3",".",".","."
"699","084","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".  
.",".",".",".","4.2",".",".","."
"777
X-ray Computed Tomography","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"780
PK Modeling in Biomed Imaging","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"900","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"900","002","","23","3.974","78.3","4.3",".",".",".",".",".","17.4
.",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","34","3.983","85.3","2.9",".",".",".",".",".","11.8
.",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","062","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","066","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","068","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 377 of 447",""
