"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"HIST SCI
456","Dept. Total","336","3.614","36.6","19.3","9.8","3.0","0.9","0.3","",".","17.9
0.6","0.3","",".","",".","0.3",".","11.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.385","26.7","23.3","26.7","10.0",".",".","",".","13.3
.",".","",".","",".",".",".",".","."
"Sophomore","","104","3.553","37.5","26.9","10.6","3.8","1.9","1.0","",".","15.4
1.9",".","",".","",".","1.0",".",".","."
"Junior","","63","3.597","41.3","27.0","12.7","3.2","1.6",".","",".","12.7
.","1.6","",".","",".",".",".",".","."
"Senior","","62","3.755","53.2","21.0","8.1","1.6",".",".","",".","14.5
.",".","",".","",".",".",".","1.6","."
"Undergraduates","","259","3.590","40.9","25.1","12.4","3.9","1.2","0.4","",".","14.3
0.8","0.4","",".","",".","0.4",".","0.4","."
"Special","","51","4.000","2.0",".",".",".",".",".","",".","27.5
.",".","",".","",".",".",".","70.6","."
"Graduate","","25","3.929","60.0",".","4.0",".",".",".","",".","36.0
.",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","336","3.614","36.6","19.3","9.8","3.0","0.9","0.3","",".","17.9
0.6","0.3","",".","",".","0.3",".","11.0","."
