"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","301
001","138","3.273","22.5","19.6","21.7","10.9","5.1",".",".","19.6","0.7",".",".",".",".",".",".","."
"","301
002","130","3.416","33.1","14.6","20.8","3.8","4.6","0.8",".","20.8","1.5",".",".",".",".",".",".","."
"","301
003","128","3.236","18.0","11.7","18.8","1.6","6.3","1.6",".","39.8","2.3",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","396","3.314","24.5","15.4","20.5","5.6","5.3","0.8",".","26.5","1.5",".",".",".",".",".",".","."
"Acc Intro to Stat Meth","302
001","66","3.208","28.8","12.1","16.7","3.0","7.6","3.0","1.5","24.2","3.0",".",".",".",".",".",".","."
"","303
001","45","3.590","51.1","13.3","15.6","4.4",".","2.2",".","13.3",".",".",".",".",".",".",".","."
"","303
002","50","3.615","48.0","14.0","10.0","2.0","2.0","2.0",".","20.0","2.0",".",".",".",".",".",".","."
"R for Statistics I","Course Total","95","3.603","49.5","13.7","12.6","3.2","1.1","2.1",".","16.8","1.1",".",".",".",".",".",".","."
"","304
001","36","3.879","80.6","5.6","2.8",".","2.8",".",".","5.6","2.8",".",".",".",".",".",".","."
"","304
002","21","3.850","90.5",".",".",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"R for Statistics II","Course Total","57","3.868","84.2","3.5","1.8",".","1.8","1.8",".","5.3","1.8",".",".",".",".",".",".","."
"","305
001","21","3.816","71.4","4.8","14.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","305
002","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".",".","14.3",".","."
"R for Statistics III","Course Total","28","3.854","71.4","3.6","10.7",".",".",".",".","10.7",".",".",".",".",".","3.6",".","."
"Intro to Prob & Math Stat I","309
001","63","3.552","36.5","23.8","11.1","3.2",".",".","1.6","20.6","1.6",".",".",".",".",".","1.6","."
"Intro to Prob & Math Stat II","310
001","88","3.421","36.4","15.9","13.6","5.7","8.0",".",".","17.0","3.4",".",".",".",".",".",".","."
"","311
001","75","3.965","90.7","4.0","1.3",".",".",".",".","1.3","2.7",".",".",".",".",".",".","."
"","311
002","91","3.938","87.9","5.5","3.3",".",".",".",".","2.2","1.1",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","166","3.950","89.2","4.8","2.4",".",".",".",".","1.8","1.8",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","312
002","97","3.753","68.0","8.2","15.5","1.0","1.0",".",".","6.2",".",".",".",".",".",".",".","."
"","324
001","128","3.420","28.9","15.6","18.0","1.6","2.3","2.3",".","28.9","2.3",".",".",".",".",".",".","."
"","324
002","117","3.517","35.0","17.9","17.1","4.3","0.9","0.9",".","21.4","2.6",".",".",".",".",".",".","."
"","324
003","127","3.380","30.7","22.0","17.3","3.1","1.6","3.1","0.8","18.1","3.1",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","372","3.437","31.5","18.5","17.5","3.0","1.6","2.2","0.3","22.8","2.7",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","74","3.608","35.1","21.6","8.1",".","4.1",".",".","23.0","8.1",".",".",".",".",".",".","."
"Intro to Data Modeling II","340
001","24","3.810","58.3","25.0","4.2",".",".",".",".","4.2","8.3",".",".",".",".",".",".","."
"","349
001","44","3.553","43.2","25.0","11.4","2.3","2.3","2.3",".","11.4","2.3",".",".",".",".",".",".","."
"","349
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","Course Total","61","3.682","57.4","19.7","8.2","1.6","1.6","1.6",".","8.2","1.6",".",".",".",".",".",".","."
"","351
001","46","3.545","43.5","6.5","10.9","6.5","4.3",".",".","26.1",".",".",".",".",".","2.2",".","."
"","351
002","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","Course Total","68","3.718","60.3","5.9","7.4","4.4","2.9",".",".","17.6",".",".",".",".",".","1.5",".","."
"","371
001","143","3.482","39.2","7.7","23.8","7.0","1.4",".",".","21.0",".",".",".",".",".",".",".","."
"","371
002","141","3.504","39.0","15.6","21.3","6.4","1.4",".",".","16.3",".",".",".",".",".",".",".","."
"","371
003","133","3.661","53.4","19.5","9.0","4.5","2.3",".",".","10.5","0.8",".",".",".",".",".",".","."
"","371
004","139","3.372","29.5","15.8","22.3","5.0","5.8",".",".","21.6",".",".",".",".",".",".",".","."
"","371
005","96","3.419","30.2","17.7","19.8","7.3","1.0","1.0",".","22.9",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","652","3.495","38.7","15.0","19.3","6.0","2.5","0.2",".","18.3","0.2",".",".",".",".",".",".","."
"","421
001","32","3.828","78.1","9.4","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","Course Total","58","3.905","87.9","5.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
