"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"699","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","063","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","101","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","38","3.938","76.3","10.5",".",".",".",".",".","10.5
.",".",".","2.6",".",".",".","."
"702
Grad Cooperative Educ Program","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"711","001","","11","3.625","27.3","36.4","9.1",".",".",".",".","27.3
.",".",".",".",".",".",".","."
"711","003","","10","3.167",".","30.0","60.0",".",".",".",".",".   
.",".",".",".","10.0",".",".","."
"Dynamcs& Control-AC Drives","Course Total","","21","3.382","14.3","33.3","33.3",".",".",".",".","14.3
.",".",".",".","4.8",".",".","."
"714
Utilty Appl-Powr Electroncs","001","","8","3.750","75.0",".","25.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"723
On-Line Control-Power Sys","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"734
VLSI Array-Dig Signal Proc","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"735
Signl Synthesis&Recvry Tech","001","","6","3.500","50.0","16.7",".",".","16.7",".",".","16.7
.",".",".",".",".",".",".","."
"738
Adv Digital Image Processng","001","","26","3.896","84.6","3.8",".",".","3.8",".",".","7.7
.",".",".",".",".",".",".","."
"739","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"739","003","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Robotics","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"742
Computatnl Meth-Electromagntcs","001","","17","3.941","88.2","11.8",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"743
High-Powr Diode Lasers&Amps","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","22","3.735","36.4","40.9",".",".",".",".",".","22.7
.",".",".",".",".",".",".","."
"759","001","","22","3.850","68.2","18.2","4.5",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"759","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","Course Total","","24","3.841","66.7","20.8","4.2",".",".",".",".","8.3
.",".",".",".",".",".",".","."
"761","001","","20","3.455","10.0","30.0","15.0",".",".",".",".","30.0
.",".",".",".",".",".","15.0","."
"761","002","","14","3.444","14.3","28.6","21.4",".",".",".",".","28.6
.",".",".",".",".",".","7.1","."
"Mathematical Machine Learning","Course Total","","34","3.450","11.8","29.4","17.6",".",".",".",".","29.4
.",".",".",".",".",".","11.8","."
"790","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","017","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","025","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
