"ASIAN LANGUAGES AND CULTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","",""
"100
Gateway to Asia Special Topics","001","","52","3.850","73.1","19.2","1.9","1.9",".",".",".",".   
.",".",".",".","1.9","1.9",".","."
"236
Asia Enchanted","001","","94","3.716","59.6","19.1","4.3",".","1.1",".","2.1","12.8
1.1",".",".",".",".",".",".","."
"246
SE Asian Refugees of Cold War","001","","20","3.971","80.0","5.0",".",".",".",".",".","5.0
5.0",".",".",".",".",".","5.0","."
"255
Intro East Asian Civilizations","001","","16","3.682","37.5","18.8","12.5",".",".",".",".","18.8
12.5",".",".",".",".",".",".","."
"276
Chinese Migrations since 1500","001","","8","3.750","37.5","37.5",".",".",".",".",".","25.0
.",".",".",".",".",".",".","."
"299","00A","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"300","001","","35","3.677","40.0","40.0","8.6",".",".",".",".","8.6
.",".",".",".",".","2.9",".","."
"300","002","","24","3.896","87.5","4.2","8.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"300","003","","21","3.810","71.4","19.0","9.5",".",".",".",".",".   
.",".",".",".",".",".",".","."
"300","004","","5","***","","","","","","","","",".",".",".",".",".",".","."
"300","00A","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Topics in Asian Studies","Course Total","","86","3.784","61.6","24.4","8.1",".",".",".",".","4.7
.",".",".",".",".","1.2",".","."
"301
Social Studies Topics in EAS","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3
.",".",".",".",".",".",".","."
"307
A Survey of Tibetan Buddhism","001","","23","4.000","87.0",".",".",".",".",".",".","8.7
.",".",".",".",".","4.3",".","."
"352
Survey of Modern Chinese Lit","001","","126","3.903","84.1","7.9","0.8","0.8",".",".","0.8","5.6
.",".",".",".",".",".",".","."
"361
Love and Politics: Genji","001","","26","3.625","69.2","7.7","7.7",".","3.8",".","3.8","3.8
3.8",".",".",".",".",".",".","."
"430
Indian Traditions Modern Age","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"433
Topics-E Asian Visual Cultures","001","","11","3.400","18.2","36.4","36.4",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"460
The History of Yoga","001","","13","3.550","30.8","30.8","7.7","7.7",".",".",".","23.1
.",".",".",".",".",".",".","."
"466
Buddhist Thought","001","","12","3.800","25.0","16.7",".",".",".",".",".","58.3
.",".",".",".",".",".",".","."
"573
Rdgs-Classical Japanese Lit","001","","7","3.714","85.7",".",".",".","14.3",".",".",".   
.",".",".",".",".",".",".","."
"630","001","","10","3.944","80.0","10.0",".",".",".",".",".",".   
.",".",".",".","10.0",".",".","."
"630","002","","11","4.000","90.9",".",".",".",".",".",".",".   
.",".",".",".","9.1",".",".","."
"630","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","Course Total","","25","3.978","88.0","4.0",".",".",".",".",".",".  
.",".",".",".","8.0",".",".","."
"632
Studies in Chinese Linguistics","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"641
History-Chinese Literature","001","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"698
Directed Study","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
