"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","102
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","13","3.818","61.5","15.4","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","102
004","17","3.938","82.4","11.8",".",".",".",".",".",".","5.9",".",".",".",".",".",".","."
"","102
005","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","Course Total","60","3.886","80.0","10.0","3.3","1.7",".",".",".","3.3","1.7",".",".",".",".",".",".","."
"","104
001","16","3.500","50.0","6.3","31.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","104
002","21","3.694","61.9","9.5","4.8","4.8","4.8",".",".","9.5","4.8",".",".",".",".",".",".","."
"","104
003","22","3.825","63.6","22.7","4.5",".",".",".",".","4.5","4.5",".",".",".",".",".",".","."
"","104
004","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","18","3.733","44.4","33.3","5.6",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","104
006","19","3.824","63.2","21.1","5.3",".",".",".",".",".","5.3",".",".",".","5.3",".",".","."
"","104
007","17","3.735","82.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","Course Total","133","3.730","61.7","18.0","8.3","1.5","1.5","0.8",".","5.3","2.3",".",".",".","0.8",".",".","."
"Second Semester Korean","106
001","58","3.852","79.3","6.9","5.2",".",".","1.7",".","6.9",".",".",".",".",".",".",".","."
"","110
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","12","4.000","91.7",".",".",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"Elementary Chinese I","Course Total","22","3.952","86.4","9.1",".",".",".",".",".",".","4.5",".",".",".",".",".",".","."
"","113
001","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","113
002","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","113
003","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"First Semester Elem Japanese","Course Total","63","3.992","93.7","1.6",".",".",".",".",".","3.2",".",".",".",".","1.6",".",".","."
"Second Semester Asian Language","122
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Filipino","124
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hmong","126
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","128
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","130
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Vietnamese","132
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Second Semester Hindi","134
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","138
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","140
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","19","3.882","78.9","5.3",".","5.3",".",".",".",".","5.3",".",".",".",".",".","5.3","."
"","202
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","Course Total","51","3.939","88.2","5.9",".","2.0",".",".",".",".","2.0",".",".",".",".",".","2.0","."
"","204
002","10","3.444","40.0","40.0",".",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"","204
003","12","3.800","58.3","16.7","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","Course Total","22","3.632","50.0","27.3","4.5",".",".","4.5",".","13.6",".",".",".",".",".",".",".","."
"Fourth Semester Korean","206
001","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Filipino","224
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 184 of 447",""
