"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Exploring Psychology","100
001","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","211","3.290","30.8","20.9","14.2","4.3","3.8","3.3","1.9","11.8","9.0",".",".",".",".",".",".","."
"","202
002","303","3.697","55.4","19.8","10.2","2.6","1.0","0.3",".","8.9","1.3",".",".",".",".",".","0.3","."
"","202
003","147","3.391","38.1","12.2","16.3","8.8","2.7","2.7",".","15.0","4.1",".",".",".",".",".",".","."
"","202
004","246","3.621","43.9","25.2","7.7","3.3","1.2","1.2",".","12.6","4.5",".",".",".",".",".",".","0.4"
"","202
006","24","3.978","91.7","4.2",".",".",".",".",".",".","4.2",".",".",".",".",".",".","."
"","202
007","16","3.333","6.3","50.0","37.5",".",".",".",".",".","6.3",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","947","3.551","44.4","20.4","11.6","4.0","1.9","1.6","0.4","11.1","4.4",".",".",".",".",".","0.1","0.1"
"","210
001","57","2.941","12.3","3.5","29.8","3.5","5.3","5.3",".","35.1","5.3",".",".",".",".",".",".","."
"","210
002","62","2.947","12.9","4.8","24.2","4.8","12.9","1.6",".","30.6","8.1",".",".",".",".",".",".","."
"","210
003","56","3.417","35.7","19.6","21.4","1.8","5.4","1.8",".","8.9","5.4",".",".",".",".",".",".","."
"","210
004","54","3.372","31.5","13.0","24.1","9.3",".","1.9",".","18.5","1.9",".",".",".",".",".",".","."
"","210
005","60","3.317","23.3","10.0","26.7","3.3","5.0",".",".","18.3","13.3",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","289","3.221","22.8","10.0","25.3","4.5","5.9","2.1",".","22.5","6.9",".",".",".",".",".",".","."
"","225
001","96","3.345","20.8","17.7","30.2","2.1","3.1",".",".","22.9","3.1",".",".",".",".",".",".","."
"","225
002","98","3.534","49.0","13.3","21.4","2.0",".","2.0","1.0","7.1",".",".",".",".","4.1",".",".","."
"Research Methods","Course Total","194","3.449","35.1","15.5","25.8","2.1","1.5","1.0","0.5","14.9","1.5",".",".",".","2.1",".",".","."
"Issues in Psychology","311
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","399
033","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","405
001","382","3.626","55.0","14.1","16.5","1.6","1.6","1.6",".","7.3","2.4",".",".",".",".",".",".","."
"Primates and Us","450
001","294","3.547","38.1","31.3","13.9","5.8","1.4",".",".","8.8","0.3",".",".",".",".",".","0.3","."
"Human Sexuality","453
001","284","3.515","38.4","20.8","18.3","4.2","2.5","0.4",".","14.8","0.7",".",".",".",".",".",".","."
"","454
001","398","3.527","40.7","26.4","12.6","4.8","2.8","0.8","0.3","10.8","0.8",".",".",".","0.3",".",".","."
"","454
002","26","3.792","57.7","30.8","3.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","424","3.549","41.7","26.7","12.0","4.5","2.6","0.7","0.2","10.6","0.7",".",".",".","0.2",".",".","."
"Intro-Social Psychology","456
001","75","3.882","88.0","2.7","2.7","1.3",".",".","1.3","2.7","1.3",".",".",".",".",".",".","."
"","460
001","180","3.754","62.8","17.2","10.0","2.8",".",".",".","5.0","1.7",".",".",".",".","0.6",".","."
"","460
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","Course Total","193","3.778","65.3","16.1","9.3","2.6",".",".",".","4.7","1.6",".",".",".",".","0.5",".","."
"Adult Developmnt & Aging","464
001","179","3.827","75.4","14.0","4.5","1.7","0.6","0.6",".","2.8",".",".",".",".",".","0.6",".","."
"Cognitive Development","502
001","100","3.594","56.0","7.0","22.0","2.0","1.0","2.0",".","6.0",".",".",".",".","3.0","1.0",".","."
"Hormones, Brain, and Behavior","513
001","96","3.535","39.6","27.1","13.5","5.2","3.1",".",".","10.4",".",".",".",".","1.0",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","105","3.828","74.3","11.4","5.7","1.9","1.0",".",".","3.8",".",".",".",".","1.9",".",".","."
"Psych Effects of the Internet","532
001","193","3.782","67.9","17.6","4.1","1.0","1.0","0.5","0.5","6.2","1.0",".",".",".",".",".",".","."
"","601
001","25","3.667","60.0","28.0",".","4.0",".","4.0",".","4.0",".",".",".",".",".",".",".","."
"","601
002","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","24","3.500","33.3","41.7","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","601
005","25","3.708","48.0","40.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","601
006","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 312 of 447",""
