"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","230","3.351","21.7","24.3","19.1","7.4","3.5",".",".","22.6","0.9",".",".",".",".",".","0.4","."
"","103
002","143","3.234","25.2","19.6","21.0","13.3","4.2","2.1",".","14.7",".",".",".",".",".",".",".","."
"General Physics","Course Total","373","3.303","23.1","22.5","19.8","9.7","3.8","0.8",".","19.6","0.5",".",".",".",".",".","0.3","."
"","104
001","277","3.358","28.2","22.4","15.5","10.5","4.3","0.4",".","17.7","1.1",".",".",".",".",".",".","."
"","104
002","292","3.280","20.5","22.3","18.2","8.2","5.8","0.3",".","24.0","0.7",".",".",".",".",".",".","."
"","104
003","58","3.167","19.0","19.0","12.1","3.4","12.1","1.7",".","31.0","1.7",".",".",".",".",".",".","."
"General Physics","Course Total","627","3.307","23.8","22.0","16.4","8.8","5.7","0.5",".","21.9","1.0",".",".",".",".",".",".","."
"","109
001","127","3.619","36.2","38.6","7.1","3.1","0.8",".",".","12.6",".",".",".",".",".",".","1.6","."
"","109
002","113","3.574","39.8","33.6","12.4","2.7","0.9",".","0.9","9.7",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","240","3.597","37.9","36.3","9.6","2.9","0.8",".","0.4","11.3",".",".",".",".",".",".","0.8","."
"Energy","115
001","43","3.368","18.6","27.9","25.6","7.0",".",".",".","18.6",".",".",".",".",".","2.3",".","."
"Directed Study","199
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","292","3.484","32.2","21.2","14.4","5.8","1.7","0.7",".","22.9","0.7",".",".",".",".",".","0.3","."
"","201
002","43","3.232","25.6","9.3","18.6","2.3","4.7","4.7",".","30.2","4.7",".",".",".",".",".",".","."
"General Physics","Course Total","335","3.456","31.3","19.7","14.9","5.4","2.1","1.2",".","23.9","1.2",".",".",".",".",".","0.3","."
"","202
001","137","3.446","25.5","30.7","18.2","5.8","1.5",".",".","17.5","0.7",".",".",".",".",".",".","."
"","202
002","291","3.628","41.2","33.7","12.0","2.1","0.7",".",".","10.3",".",".",".",".",".",".",".","."
"General Physics","Course Total","428","3.574","36.2","32.7","14.0","3.3","0.9",".",".","12.6","0.2",".",".",".",".",".",".","."
"General Physics","207
001","145","3.362","20.0","19.3","22.8","3.4","0.7","1.4",".","28.3","3.4",".",".",".","0.7",".",".","."
"General Physics","208
001","300","3.490","37.0","20.0","21.7","5.7","1.3","0.3",".","13.7","0.3",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","40","3.157","7.5","25.0","50.0","2.5",".","2.5",".","12.5",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","46","3.732","56.5","21.7","6.5","4.3",".",".",".","10.9",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","298
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","299
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","3.967","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physics Today","301
001","38","4.000","97.4",".",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","307
001","22","3.763","59.1","22.7",".",".","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"","307
002","23","3.841","73.9","17.4",".","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","45","3.805","66.7","20.0",".","2.2","2.2",".",".","8.9",".",".",".",".",".",".",".","."
"Mechanics","311
001","57","3.131","10.5","19.3","28.1","10.5","5.3",".",".","22.8","3.5",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","62","3.367","32.3","6.5","37.1",".",".","3.2",".","16.1","3.2",".",".",".","1.6",".",".","."
"Electromagnetic Fields","323
001","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Optics","325
001","46","3.616","47.8","21.7","21.7","2.2",".",".",".","6.5",".",".",".",".",".",".",".","."
