"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
002","","31","3.893","83.9",".","3.2","3.2",".",".",".","6.5","3.2",".",".",".",".",".",".","."
"","502
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","57","3.938","91.2",".","1.8","1.8",".",".",".","3.5","1.8",".",".",".",".",".",".","."
"Legal Rights & Resp for Tchrs","640
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Community Opportunity Justice","770
001","","21","3.950","85.7","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"HPE Capstone Seminar","777
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt for Ed Pol Analysis","823
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","840
001","","27","3.923","92.6",".",".",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"","840
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Public School Law","Course Total","","42","3.939","92.9","2.4",".",".","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"The School Superintendency","846
001","","18","4.000","83.3",".",".",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Theory&Practice-Ed Planning","875
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","883
001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","883
002","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Identity & Development","Course Total","","47","3.957","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leader Stud Abrd Intl Stdt Svc","885
004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","888
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","888
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment in Higher Education","Course Total","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"Internship in Ed Admin","900
001","","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","940
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
