"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"226
Fourth Semester Hmong","001","","10","3.700","70.0","20.0",".",".","10.0",".",".",".   
.",".",".",".",".",".",".","."
"228
Fourth Semester Indonesian","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"230
Fourth Semester Thai","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"232
Fourth Semester Vietnamese","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"234
Fourth Semester Hindi","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"236
Fourth Semester Modern Tibetan","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"238
Fourth Semester Persian","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"240
Fourth Semester Urdu","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"302","001","","15","4.000","86.7",".",".",".",".",".",".","13.3
.",".",".",".",".",".",".","."
"302","002","","6","3.500","50.0",".","16.7","16.7",".",".",".","16.7
.",".",".",".",".",".",".","."
"Sixth Semester Chinese","Course Total","","21","3.861","76.2",".","4.8","4.8",".",".",".","14.3
.",".",".",".",".",".",".","."
"306
Sixth Semester Korean","001","","11","3.682","72.7",".","18.2","9.1",".",".",".",".   
.",".",".",".",".",".",".","."
"312
2nd Semester Classical Chinese","001","","9","3.889","77.8","22.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"316
2nd Semester Classical Chinese","001","","24","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"326
Sixth Semester Hmong","001","","6","3.833","83.3",".","16.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"328
Sixth Semester Indonesian","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"330
Sixth Semester Thai","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"332","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"332","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","Course Total","","4","***","","","","","","","","","","","","","","",""
"334
Sixth Semester Hindi","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"340
Sixth Semester Urdu","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"356","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"356","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"356","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"356","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"356","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Asian","Course Total","","13","3.923","84.6","15.4",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"358","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"358","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"358","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"358","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"358","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"358","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"358","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","Course Total","","9","3.833","77.8","11.1","11.1",".",".",".",".",".  
.",".",".",".",".",".",".","."
