"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"Intro East Asian Civilizations","255
001","","13","3.444","23.1","15.4","30.8",".",".",".",".","23.1","7.7",".",".",".",".",".",".","."
"Humanities Topics in EAS","270
001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Chinese Migrations since 1500","276
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Studies Topics in EAS","301
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"East Asia & The US Since 1899","332
001","","9","3.563","44.4","22.2","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"E A STDS
298","Dept. Total","","36","3.481","41.7","19.4","13.9","2.8","2.8","2.8",".","13.9","2.8",".",".",".",".",".",".","."
