"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","601
007","25","3.708","56.0","24.0","16.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","601
008","25","3.820","84.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","601
009","25","3.818","80.0",".","4.0",".",".","4.0",".","8.0","4.0",".",".",".",".",".",".","."
"","601
010","21","3.625","66.7","14.3","9.5",".",".",".","4.8",".","4.8",".",".",".",".",".",".","."
"","601
011","25","3.804","68.0","12.0","12.0",".",".",".",".",".","4.0",".",".",".",".",".","4.0","."
"Current Topics - Psychology","Course Total","270","3.772","69.3","18.5","6.7","0.4","0.4","1.1","0.4","1.9","1.1",".",".",".",".",".","0.4","."
"","621
001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","621
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
006","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","9","3.940","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
017","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
023","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
038","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
039","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
044","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
053","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
065","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
075","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
082","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
099","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","279","3.994","98.6","1.1",".",".",".",".",".","0.4",".",".",".",".",".",".",".","."
"","682
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
