"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Religion & Sexuality","103","001","","93","3.535","29.0","46.2","12.9","2.2",".","1.1",".","7.5","1.1",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","","22","3.825","68.2","13.6","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253","001","","13","3.682","38.5","38.5","7.7",".",".",".",".","7.7","7.7",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","","18","3.912","83.3","5.6","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","8","3.500","12.5","50.0","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Science, Medicine&Religion","331","001","","14","3.682","35.7","35.7","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"King David","335","001","","15","3.833","60.0","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".","13.3","."
"Shamanism","352","001","","29","3.964","93.1",".","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","","35","3.813","62.9","22.9","5.7",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","400","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","006","","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","400","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","","19","3.706","47.4","31.6","10.5",".",".",".",".","5.3","5.3",".",".",".",".",".",".","."
"The Enlightenm't & Its Critics","411","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indian Traditions Modern Age","430","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Milton","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The History of Yoga","460","001","","20","3.688","35.0","40.0","5.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Buddhist Thought","466","001","","20","3.618","45.0","25.0","10.0",".","5.0",".",".","10.0","5.0",".",".",".",".",".",".","."
"Topics in Religious Studies","500","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Res & Colloq","601","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
