"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"990","014","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","46","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"999","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"999","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
