"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","",""
"339
Advanced Techniques: Harp","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"342
Piano Accompanying Lab","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"401","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401","047","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401","096","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401","129","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","5","***","","","","","","","","","","","","","","",""
"402
Advanced Harpsichord","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"403
Advanced Organ","142","","1","***","","","","","","","","",".",".",".",".",".",".","."
"405","044","","3","***","","","","","","","","",".",".",".",".",".",".","."
"405","045","","2","***","","","","","","","","",".",".",".",".",".",".","."
"405","061","","3","***","","","","","","","","",".",".",".",".",".",".","."
"405","062","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"407","010","","4","***","","","","","","","","",".",".",".",".",".",".","."
"407","110","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Flute","Course Total","","5","***","","","","","","","","","","","","","","",""
"409","059","","2","***","","","","","","","","",".",".",".",".",".",".","."
"409","159","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Oboe","Course Total","","3","***","","","","","","","","","","","","","","",""
"411
Advanced Clarinet","019","","2","***","","","","","","","","",".",".",".",".",".",".","."
"413","049","","4","***","","","","","","","","",".",".",".",".",".",".","."
"413","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Saxophone","Course Total","","5","***","","","","","","","","","","","","","","",""
"415
Advanced Bassoon","132","","1","***","","","","","","","","",".",".",".",".",".",".","."
"417","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"417","120","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Horn","Course Total","","5","***","","","","","","","","","","","","","","",""
"419","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"419","063","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"419","163","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trumpet","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"421
Advanced Trombone","089","","3","***","","","","","","","","",".",".",".",".",".",".","."
"423
Advanced Euphonium","035","","4","***","","","","","","","","",".",".",".",".",".",".","."
"425","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"425","135","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Tuba","Course Total","","2","***","","","","","","","","","","","","","","",""
"427","033","","2","***","","","","","","","","",".",".",".",".",".",".","."
"427","092","","3","***","","","","","","","","",".",".",".",".",".",".","."
"427","133","","2","***","","","","","","","","",".",".",".",".",".",".","."
