"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","8","3.882","87.5",".","12.5",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","24","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","35","3.973","97.1",".","2.9",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","21","",".",".",".",".",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","380","3.481","35.0","22.6","25.5","5.0","0.5","",".","",".","11.3",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","187","3.697","59.9","11.8","25.1","0.5","0.5","",".","",".","2.1",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","569","3.558","43.4","19.0","25.3","3.5","0.5","",".","",".","8.3",".",".","",".","",".","",".",".",".","."
