"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"699","025","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","027","","15","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","42","4.000","47.6",".",".",".",".",".",".","52.4
.",".",".",".",".",".",".","."
"707
Production Medicine IV","001","","10","4.000","60.0",".",".",".",".",".",".","40.0
.",".",".",".",".",".",".","."
"775","001","","44","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"775","002","","25","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"775","003","","16","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"775","004","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Externship","Course Total","","94","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
