"Summary by Level","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","358",".","",".","",".","",".","",".","",".","",".","96.1","0.3",".","",".","",".","2.2",".",".","1.4"
"Prof Yr 2","8",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 3","18",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 4","136",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Professionals","520",".","",".","",".","",".","",".","",".","",".","97.3","0.2",".","",".","",".","1.5",".",".","1.0"
