"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","",""
"203
Introduction to Global Health","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","",""
"300
Cropping Systems","001","","14","3.750","50.0","7.1","14.3",".",".",".",".","28.6
.",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","17","3.533","64.7",".","17.6",".",".",".","5.9","11.8
.",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","37","3.597","43.2","37.8","8.1","8.1",".",".",".","2.7
.",".",".",".",".",".",".","."
"360
GM Crops:Sci,Reg,Controversy","001","","11","3.450","36.4","27.3","18.2",".","9.1",".",".","9.1
.",".",".",".",".",".",".","."
"375","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"375","004","","9","3.889","88.9",".","11.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","3.889","80.0",".","10.0",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","18","3.971","88.9","5.6",".",".",".",".",".","5.6
.",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"471
Food Production & Sustainblty","001","","11","3.700","63.6",".","27.3",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","20","3.711","55.0","25.0","15.0",".",".",".",".","5.0
.",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","",""
"812
Select Thry-Quant Traits","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"920
Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","16.7
.",".",".","83.3",".",".",".","."
"990","022","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","48.3
.",".",".","51.7",".",".",".","."
