"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","40","3.360","20.0","15.0","20.0","5.0","2.5",".",".","37.5",".",".",".",".",".",".",".","."
"","300
002","41","3.477","22.0","14.6","12.2","2.4","2.4",".",".","46.3",".",".",".",".",".",".",".","."
"","300
003","42","3.370","11.9","28.6","19.0","4.8",".",".",".","35.7",".",".",".",".",".",".",".","."
"","300
004","36","3.577","33.3","22.2","11.1","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","300
005","44","3.400","9.1","27.3","20.5",".",".",".",".","43.2",".",".",".",".",".",".",".","."
"","300
006","41","3.580","26.8","17.1","17.1",".",".",".",".","36.6","2.4",".",".",".",".",".",".","."
"","300
007","36","3.292","13.9","27.8","11.1","11.1","2.8",".",".","33.3",".",".",".",".",".",".",".","."
"","300
008","43","3.500","20.9","23.3","20.9",".",".",".",".","34.9",".",".",".",".",".",".",".","."
"","300
009","43","3.671","41.9","34.9","11.6",".",".",".",".","11.6",".",".",".",".",".",".",".","."
"","300
010","41","3.764","53.7","26.8","7.3",".",".",".",".","12.2",".",".",".",".",".",".",".","."
"","300
011","39","3.700","41.0","30.8","2.6",".","2.6",".",".","23.1",".",".",".",".",".",".",".","."
"","300
012","35","3.813","57.1","34.3",".",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","481","3.562","28.9","25.2","13.1","2.3","0.8",".",".","29.5","0.2",".",".",".",".",".",".","."
"","305
001","80","3.917","83.8","11.3","2.5",".",".",".",".",".","2.5",".",".",".",".",".",".","."
"","305
002","71","3.788","77.5","5.6","4.2","2.8","1.4",".","1.4","2.8","2.8",".",".",".","1.4",".",".","."
"Human Resource Management","Course Total","151","3.858","80.8","8.6","3.3","1.3","0.7",".","0.7","1.3","2.6",".",".",".","0.7",".",".","."
"Chall & Solu in Bus Sustain","310
001","24","3.676","25.0","45.8",".",".",".",".",".","25.0",".",".",".",".","4.2",".",".","."
"Social Entrepreneurship","321
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","183","3.361","21.3","13.1","26.8","3.3","2.2",".",".","32.8","0.5",".",".",".",".",".",".","."
"","365
003","11","3.750","27.3","27.3",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.786","33.3","25.0",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","41","3.697","48.8","31.7","12.2",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","18","3.679","27.8","50.0",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Management Consulting","412
001","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","22","3.632","36.4","40.9","4.5","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","422
002","25","3.565","36.0","32.0","24.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","47","3.595","36.2","36.2","14.9","2.1",".",".",".","10.6",".",".",".",".",".",".",".","."
"","423
001","40","3.581","37.5","40.0","10.0","2.5","2.5",".",".","7.5",".",".",".",".",".",".",".","."
"","423
002","37","3.516","32.4","29.7","16.2","2.7","2.7",".",".","16.2",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","77","3.551","35.1","35.1","13.0","2.6","2.6",".",".","11.7",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","24","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","37","3.743","51.4","37.8","5.4",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","30","3.065","20.0","6.7","33.3","3.3","10.0","3.3",".","20.0","3.3",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","37","3.986","91.9","2.7",".",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"","628
001","36","3.931","88.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","28","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","64","3.836","75.0","17.2","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurship-Arts&CultOrgs","636
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","25","3.571","20.0","56.0","8.0",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 59 of 447"
