"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"299","008","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.985","93.3","6.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","16","3.429","25.0","25.0","37.5",".",".",".",".","6.3
6.3",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","34","3.200","26.5","8.8","44.1","2.9","2.9",".","2.9","8.8
2.9",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","42","3.235","33.3","14.3","16.7","4.8","4.8","7.1",".","16.7
2.4",".",".",".",".",".",".","."
"350","001","","65","3.833","64.6","24.6","3.1",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"350","002","","55","3.778","58.2","36.4","3.6",".",".",".",".","1.8
.",".",".",".",".",".",".","."
"Intro to Materials Science","Course Total","","120","3.807","61.7","30.0","3.3",".",".",".",".","5.0
.",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","44","3.179","13.6","15.9","47.7","11.4",".",".",".","11.4
.",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","40","3.959","85.0","7.5",".",".",".",".",".","5.0
.",".",".",".","2.5",".",".","."
"421
Polymeric Materials","001","","76","3.493","22.4","48.7","17.1","1.3","1.3",".",".","9.2
.",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","8","3.500","87.5",".",".",".",".",".","12.5",".   
.",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","36","3.531","36.1","22.2","30.6",".",".",".",".","11.1
.",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","14","3.643","50.0","28.6","21.4",".",".",".",".",".   
.",".",".",".",".",".",".","."
"471
Capstone Project II","001","","44","3.964","90.9","2.3","2.3",".",".",".",".","4.5
.",".",".",".",".",".",".","."
"474
Rock Mechanics","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","24","3.478","37.5","25.0","25.0","8.3",".",".",".","4.2
.",".",".",".",".",".",".","."
"551
Structure of Materials","001","","22","3.750","45.5","45.5",".",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","25","3.565","32.0","44.0","12.0","4.0",".",".",".","8.0
.",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","11","3.850","63.6","27.3",".",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"660
Mesoscale Modeling of Material","001","","6","3.917","83.3","16.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.923","66.7","16.7",".",".",".",".",".",".  
.",".",".",".","16.7",".",".","."
"790","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","008","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 148 of 447",""
