"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","",""
"699","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","114","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","118","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","192","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","194","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","268","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","83.3",".",".",".",".",".",".","16.7
.",".",".",".",".",".",".","."
"710
Mathematical Statistics","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","7","4.000","85.7",".",".",".",".",".",".",".   
.",".",".",".","14.3",".",".","."
"732
Lg Sample Thry-Stat Inference","001","","25","3.729","52.0","36.0","8.0",".",".",".",".","4.0
.",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","31","3.950","90.3","3.2","3.2",".",".",".",".","3.2
.",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","50","3.837","64.0","26.0","2.0",".",".",".",".","8.0
.",".",".",".",".",".",".","."
"833
Topics in Probability","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","078","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","110","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","114","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","160","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","165","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","192","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","194","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","195","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","240","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","242","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","256","","3","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 340 of 447",""
