"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","53","3.639","60.4","13.2","11.3",".","3.8",".","1.9","9.4",".",".","",".",".","",".",".",".","."
"Senior","200","3.856","79.0","8.0","6.5","0.5","0.5","0.5",".","5.0",".",".","",".",".","",".",".",".","."
"Undergraduates","258","3.816","75.6","8.9","7.4","0.4","1.2","0.4","0.4","5.8",".",".","",".",".","",".",".",".","."
"Special","11","3.525","27.3","9.1","27.3",".",".",".",".","36.4",".",".","",".",".","",".",".",".","."
"Graduate","61","3.949","44.3",".","1.6",".",".",".",".","13.1",".",".","",".","41.0","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","",".","",".","100.0","",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","",".","",".","33.3","",".",".",".","."
"Professionals","4","***","","","","","","","","","",".","",".","50.0","",".",".",".","."
