"L&S","","","","","","","","","","","","","","","","","","",""
"MOLECULAR BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"650
MOL BIOL","","","","","","","","","","","","","","","","","","",""
"682","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","",""
"686
Sr Honors Smr in Molec Biol","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699
Directed Studies-Molec Biol","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"MOL BIOL
650","Dept. Total","","11","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
