"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","",""
"575","070","","17","4.000","88.2",".",".",".",".",".",".",".   
.",".",".",".","11.8",".",".","."
"Interactive Cart & Geovis","Course Total","","37","3.891","75.7","8.1",".",".","2.7",".",".","5.4
.",".",".",".","8.1",".",".","."
"576
Spatial Web/Mobile Programming","070","","21","4.000","85.7",".",".",".",".",".",".",".   
.",".",".",".","14.3",".",".","."
"578
GIS Applications","001","","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".   
.",".",".",".",".",".",".","."
"579
GIS and Spatial Analysis","070","","11","3.864","72.7","27.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"682","087","","1","***","","","","","","","","",".",".",".",".",".",".","."
"682","090","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"692
Senior Thesis","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","100","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"766","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"766","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Geog Inquiry&Anal:Technique","Course Total","","5","***","","","","","","","","","","","","","","",""
"777
Capstone in GIS Development","070","","18","3.778","88.9",".","5.6",".",".","5.6",".",".   
.",".",".",".",".",".",".","."
"778
Practicum in GIS Development","070","","18","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"920
Smr-Physical Geography","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"930
Smr-People/Environment Geog","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"970
Seminar in Geographic Info Sci","001","","10","4.000","50.0",".",".",".",".",".",".",".   
.",".",".",".","50.0",".",".","."
"990","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 239 of 447",""
