"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"697","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"697","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"697","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"697","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"697","076","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","11","",".",".",".",".",".",".",".",".  
.","100.0",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","008","","8","4.000","75.0",".",".",".",".",".",".","12.5
.",".",".",".",".",".","12.5","."
"699","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","051","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.894","72.4","3.4","6.9",".",".",".",".","6.9
.",".",".",".",".",".","10.3","."
"801
Mass Communicatn&Individual","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"812
Qualitative Comm Res Methods","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"826
Journalism Theory","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","9","3.944","88.9","11.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"833
Technology and Society","001","","9","3.889","77.8","22.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"880","047","","1","***","","","","","","","","",".",".",".",".",".",".","."
"880","048","","10","3.944","80.0","10.0",".",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","11","3.950","81.8","9.1",".",".",".",".",".","9.1
.",".",".",".",".",".",".","."
"902
Graduate Teaching Colloquium","001","","7","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","",".",".",".",".",".",".",".","83.3
.",".",".","16.7",".",".",".","."
"990","016","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","093","","8","",".",".",".",".",".",".",".",".   
.",".",".","100.0",".",".",".","."
"Thesis","Course Total","","38","",".",".",".",".",".",".",".","55.3
.",".",".","44.7",".",".",".","."
"999","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 266 of 447",""
