"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","S/SD U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102
001","45","3.700","68.9","13.3","2.2",".",".","",".","4.4","6.7
4.4",".",".","",".","",".","",".",".","."
"Intro-Mus Cult of the World","103
001","78","3.941","91.0","3.8","1.3",".","1.3","",".",".","2.6
.",".",".","",".","",".","",".",".","."
"","210
001","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","210
002","9","3.722","77.8",".","11.1","11.1",".","",".",".",".   
.",".",".","",".","",".","",".",".","."
"","210
003","7","4.000","85.7",".",".",".",".","",".",".",".   
14.3",".",".","",".","",".","",".",".","."
"","210
004","11","3.909","81.8","18.2",".",".",".","",".",".",".   
.",".",".","",".","",".","",".",".","."
"","210
005","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"The African Storyteller","Course Total","36","3.829","80.6","5.6","5.6","5.6",".","",".",".",".  
2.8",".","",".","",".","",".",".",".","."
"Folklore of Wisconsin","320
001","30","4.000","73.3",".",".",".",".","",".",".","26.7
.",".",".","",".","",".","",".",".","."
"In Transl:Scand Tale&Ballad","345
001","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Shamanism","352
001","53","3.920","75.5","1.9","5.7",".",".","",".",".","15.1
.",".",".","",".","",".","","1.9",".","."
"Topics American Folklore","430
001","33","3.952","84.8","9.1",".",".",".","",".",".","6.1
.",".",".","",".","",".","",".",".","."
"FOLKLORE
380","Dept. Total","280","3.891","80.7","5.4","2.5","0.7","0.4","",".","0.7","8.2
1.1",".","",".","",".","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S/SD
U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.955","90.9","9.1",".",".",".","",".",".",".  
.",".","",".","",".","",".",".",".","."
"Sophomore","","87","3.887","87.4","4.6","2.3","1.1",".","",".","1.1","2.3
.",".","",".","",".","",".","1.1",".","."
"Junior","","56","3.870","80.4","5.4","1.8",".",".","",".","1.8","7.1
3.6",".","",".","",".","",".",".",".","."
"Senior","","99","3.887","81.8","6.1","4.0","1.0","1.0","",".",".","5.1
1.0",".","",".","",".","",".",".",".","."
"Undergraduates","","264","3.890","84.1","5.7","2.7","0.8","0.4","",".","0.8","4.2
1.1",".","",".","",".","",".","0.4",".","."
"Special","","13","4.000","7.7",".",".",".",".","",".",".","92.3
.",".","",".","",".","",".",".",".","."
"Graduate","","3","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","280","3.891","80.7","5.4","2.5","0.7","0.4","",".","0.7","8.2
1.1",".","",".","",".","",".","0.4",".","."
