"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"690","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"690","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"690","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","4","***","","","","","","","","","","","","","","",""
"699","002","","20","4.000","80.0",".",".",".",".",".",".",".   
.",".",".",".","20.0",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","23","4.000","82.6",".",".",".",".",".",".",".  
.",".",".",".","17.4",".",".","."
"710
Multiculturl Issues-Special Ed","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"720
Clin Reh & MH Cnslg-Assessment","001","","24","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"721
Addictions Counseling","001","","26","3.962","92.3","7.7",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"725
Clin Rehab Cnslg-Career Devel","001","","16","3.938","87.5","12.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"732
Clin Rehab Cnslg - Foundations","001","","14","3.929","85.7","14.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"736
Psych of Individual Difference","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"870
Reh Coun Ed-AssessThry&Rsrch","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"873
Prof Dev of Spec Ed Rschrs","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"890
Clin Rehab Cnslg - Pract II","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"910","003","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"930
Reh Coun Ed-Teaching","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"940","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"940","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Supv Research","Course Total","","2","***","","","","","","","","","","","","","","",""
"941","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"941","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","3","***","","","","","","","","","","","","","","",""
"955
Internship in Rehb Couns Ed II","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"985
Adv Meth Disability&RehabRsrch","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"988
Reh Coun Ed - Diss Resrch Sem","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","15","",".",".",".",".",".",".",".","80.0
13.3",".",".","6.7",".",".",".","."
