"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Intaglio Printmaking I","726
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","908
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","908
002","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","914
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","914
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","914
078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","944
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","944
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","996
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
003","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","999
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
017","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
018","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
042","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
055","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
068","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
080","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","Page 78 of 447"
