"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","44","3.566","31.8","40.9","9.1","2.3","2.3",".",".","9.1","4.5",".",".",".",".",".",".","."
"Topics in Public Policy","274
001","","16","3.967","87.5","6.3",".",".",".",".",".",".","6.3",".",".",".",".",".",".","."
"Public Leadership","278
001","","16","3.333","12.5","37.5","12.5","12.5",".",".",".","18.8",".",".",".",".",".","6.3",".","."
"Tools for Public Policy","380
001","","27","3.981","92.6","3.7",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","","25","3.250","12.0","32.0","16.0",".",".",".","4.0","32.0","4.0",".",".",".",".",".",".","."
"Economics of Health Care","548
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Public Affairs Seminar Series","802
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","827
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","19","3.778","52.6","42.1",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Workshop-Int'l Public Affairs","860
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","873
002","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
003","","17","3.794","82.4","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","56","3.864","78.6","16.1",".","3.6",".",".",".",".",".",".",".",".","1.8",".",".","."
"","878
001","","25","3.917","80.0","16.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","878
002","","24","3.886","70.8","20.8",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Public Management","Course Total","","49","3.902","75.5","18.4",".",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"Adv Pub Mgt:Constrnts&Acctblty","885
001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","974
005","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
007","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
009","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
