"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Power Electronic Circuits","","Course Total","","54","3.725","61.1","18.5","13.0",".","1.9",".",".","5.6",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","17","3.538","23.5","35.3","17.6",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","","17","3.731","41.2","29.4","5.9",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","19","3.545","21.1","21.1","15.8",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"Communication Systems II","437","001","","18","3.694","66.7","27.8",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","28","3.673","46.4","35.7","7.1","3.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","11","3.550","36.4","36.4","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","489","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Design Project","491","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","","12","3.739","33.3","41.7",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Software Engineering","506","001","","12","3.591","50.0","8.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","20","3.684","55.0","20.0","20.0",".",".",".",".",".","5.0",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","","22","3.361","22.7","36.4","4.5","13.6","4.5",".",".","9.1",".",".",".",".","4.5","4.5",".","."
"","532","002","","97","3.603","43.3","28.9","13.4","3.1",".","1.0",".","9.3","1.0",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","","119","3.562","39.5","30.3","11.8","5.0","0.8","0.8",".","9.2","0.8",".",".",".","0.8","0.8",".","."
"Adv Com Circuit Dsgn","547","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","67","3.456","28.4","43.3","6.0","4.5",".",".","3.0","13.4","1.5",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","58","3.759","67.2","13.8","8.6",".","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Doctoral Research","611","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
