"","","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"990","009","","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","18","","",".","",".","",".",".","",".","",".","",".","72.2
.",".",".","16.7",".",".","11.1","."
