"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"306
Transitions: Pract & Prof","001","","7","3.214","42.9","14.3",".","28.6","14.3",".",".",".   
.",".",".",".",".",".",".","."
"407
Foundations Prof Nursing Pract","003","","8","3.938","87.5","12.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"441","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"441","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"441","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","10","3.333",".","70.0","10.0","10.0",".",".",".","10.0
.",".",".",".",".",".",".","."
"446
Nrsg Research & EB Practice","003","","5","***","","","","","","","","",".",".",".",".",".",".","."
"447
Leadership and Management","003","","7","3.786","57.1","42.9",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"453","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"453","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".  
.",".",".",".",".",".",".","."
"454","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"454","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"454","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"490","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"490","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","2","***","","","","","","","","","","","","","","",""
"519
Capstone Practicum for RN's","001","","18","3.794","61.1","27.8","5.6",".",".",".",".",".   
.",".",".",".","5.6",".",".","."
"CNP
691","Dept. Total","","69","3.694","55.1","31.9","4.3","4.3","1.4",".",".","1.4
.",".",".",".","1.4",".",".","."
