"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","3.714","75.0",".",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","59","3.965","91.5","3.4","1.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","83","3.394","39.8","20.5","15.7","1.2","1.2","7.2",".","14.5",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","83","3.861","74.7","18.1",".","1.2","1.2",".",".","4.8",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","57","3.906","86.0","3.5","1.8",".",".","1.8",".","7.0",".",".",".",".",".",".",".","."
"","321","001","","23","4.000","91.3",".",".",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","321","002","","16","3.719","81.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","321","003","","19","3.971","84.2","5.3",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","58","3.907","86.2","3.4","1.7",".",".","1.7",".","6.9",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","32","3.280","25.0","21.9","21.9","3.1",".","6.3",".","21.9",".",".",".",".",".",".",".","."
"","348","001","","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","","56","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","94","3.979","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","","65","3.977","95.4","4.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","","48","3.967","89.6","2.1","2.1",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","67","3.655","37.3","40.3","7.5","1.5",".",".",".","13.4",".",".",".",".",".",".",".","."
"","417","001","","38","3.697","55.3","15.8","10.5","5.3",".",".",".","13.2",".",".",".",".",".",".",".","."
"","417","002","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","","Course Total","","48","3.686","52.1","22.9","10.4","4.2",".",".",".","10.4",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","","64","3.944","85.9","10.9",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","58","3.897","87.9","6.9","3.4",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","30","3.423","46.7","6.7","20.0","6.7","3.3","3.3",".","13.3",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","","22","3.690","45.5","40.9","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","16","3.933","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".","."
"Advanced Linear Programming","526","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555","001","","26","3.920","80.8","15.4",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","555","002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","","Course Total","","36","3.914","83.3","11.1","2.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"HFE for Healthcare","557","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","27","3.852","88.9","3.7",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","21","3.658","61.9","14.3","9.5",".",".","4.8",".","4.8","4.8",".",".",".",".",".",".","."
"","601","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","005","","12","3.833","50.0","25.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","601","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","68","3.806","73.5","10.3","2.9","1.5","1.5","1.5",".","7.4","1.5",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","","Page 138 of 447",""
