"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","169","3.553","33.1","14.8","15.4","1.2","1.8","0.6",".","32.0","0.6",".",".",".",".",".","0.6","."
"","300
002","227","3.571","31.3","17.2","17.6","1.3","0.4",".",".","32.2",".",".",".",".",".",".",".","."
"","300
003","112","3.488","23.2","29.5","17.9","3.6",".",".",".","25.9",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","508","3.546","30.1","19.1","16.9","1.8","0.8","0.2",".","30.7","0.2",".",".",".",".",".","0.2","."
"","305
001","20","3.633","40.0","20.0","10.0","5.0",".",".",".","25.0",".",".",".",".",".",".",".","."
"","305
002","23","3.346","4.3","30.4","21.7",".",".",".",".","34.8",".",".",".",".",".",".","8.7","."
"Finc Mrkts,Instns&Econ Actv","Course Total","43","3.500","20.9","25.6","16.3","2.3",".",".",".","30.2",".",".",".",".",".",".","4.7","."
"","320
001","18","3.667","38.9","22.2",".",".","5.6",".",".","33.3",".",".",".",".",".",".",".","."
"","320
002","26","3.579","34.6","15.4","23.1",".",".",".",".","26.9",".",".",".",".",".",".",".","."
"","320
003","24","3.263","25.0","33.3","12.5",".",".","4.2","4.2","20.8",".",".",".",".",".",".",".","."
"","320
004","59","3.500","30.5","32.2","10.2","1.7",".","3.4",".","22.0",".",".",".",".",".",".",".","."
"","320
005","58","3.622","29.3","37.9","10.3",".",".",".",".","20.7","1.7",".",".",".",".",".",".","."
"Investment Theory","Course Total","185","3.532","30.8","30.8","11.4","0.5","0.5","1.6","0.5","23.2","0.5",".",".",".",".",".",".","."
"","325
001","39","3.661","41.0","25.6","10.3","2.6",".",".",".","20.5",".",".",".",".",".",".",".","."
"","325
002","47","3.622","42.6","25.5","17.0","2.1",".",".",".","12.8",".",".",".",".",".",".",".","."
"","325
003","58","3.605","29.3","31.0","13.8",".",".",".",".","25.9",".",".",".",".",".",".",".","."
"","325
004","23","3.550","21.7","52.2","13.0",".",".",".",".","8.7","4.3",".",".",".",".",".",".","."
"Corporation Finance","Course Total","167","3.615","34.7","31.1","13.8","1.2",".",".",".","18.6","0.6",".",".",".",".",".",".","."
"","330
001","58","3.670","44.8","32.8","13.8",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","330
002","59","3.700","49.2","25.4","6.8","1.7","1.7",".",".","13.6",".",".",".",".",".",".","1.7","."
"","330
003","60","3.689","41.7","38.3","8.3",".",".",".",".","11.7",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","177","3.686","45.2","32.2","9.6","0.6","0.6",".",".","11.3",".",".",".",".",".",".","0.6","."
"Fixed Income Securities","340
001","21","3.767","42.9","23.8","4.8",".",".",".",".","14.3","4.8",".",".",".",".","9.5",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","21","3.786","47.6","9.5","9.5",".",".",".",".","23.8","9.5",".",".",".",".",".",".","."
"","365
005","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","14","3.773","42.9","35.7",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","57","3.824","56.1","21.1","5.3",".",".",".",".","14.0","3.5",".",".",".",".",".",".","."
"Reading & Research-Finance","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","67","3.580","29.9","37.3","16.4",".",".",".",".","14.9",".",".",".",".",".","1.5",".","."
"Investmt Bankg & Capital Mrkts","420
001","37","3.750","48.6","32.4","5.4",".",".",".",".","10.8",".",".",".",".","2.7",".",".","."
"Multinational Bus Finance","445
001","36","3.552","30.6","27.8","22.2",".",".",".",".","19.4",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","21","3.639","47.6","19.0","14.3","4.8",".",".",".","14.3",".",".",".",".",".",".",".","."
"","602
001","20","3.895","75.0","20.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","602
002","20","3.559","20.0","60.0",".","5.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"Wealth Mgmt&Financial Planning","Course Total","40","3.736","47.5","40.0",".","2.5",".",".",".","10.0",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","21","3.750","47.6","33.3","4.8",".",".",".",".","9.5","4.8",".",".",".",".",".",".","."
"","635
002","31","3.786","58.1","25.8","6.5",".",".",".",".","6.5","3.2",".",".",".",".",".",".","."
"Security Analysis","Course Total","52","3.772","53.8","28.8","5.8",".",".",".",".","7.7","3.8",".",".",".",".",".",".","."
